"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","7","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionVersions","","","test__get_collection_versions_not_a_uuid__403",""
"passed","Wed Nov 29 16:58:38 GMT 2023","Wed Nov 29 16:58:38 GMT 2023","0","tests.unit.backend.wmg.api.common","test_wmg_api_helpers","","","","test_sanitize_api_query_dict[input_query3-expected_sanitized_query3]",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_2","","","test_type_inference",""
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","2","tests.unit.processing.schema_migration","test_publish_and_cleanup","TestPublishAndCleanup","","","test_OK",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_58","","","test_type_inference",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_83","","","test_type_inference",""
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","0","tests.unit.processing","test_handle_error","","","","test_parse_event_without_error_cause",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","3","tests.unit.backend.layers.api","test_portal_api","TestPublishRevision","","","test__publish_revision_bad_id__403","
        Publish a collection with a bad uuid (non existant) returns 403
        "
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","1","tests.unit.processing.schema_migration","test_collection_migrate","TestCollectionMigrate","","","test_can_publish_true",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_92","","","test_type_inference",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","2","tests.unit.backend.layers.api","test_portal_api","TestCollection","","","test__list_collection_options__allow",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_34","","","test_type_inference",""
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:16 GMT 2023","42","tests.unit.backend.layers.utils","test_secret_config","TestSecretConfig","","","test_from_aws",""
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","1","tests.unit.processing.schema_migration","test_collection_migrate","TestCollectionMigrate","","","test_can_publish_false",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","0","tests.unit.backend.layers.common","test_validation","","","","test__link__INVALID[data_source-://]",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","28","tests.unit.backend.layers.api","test_portal_api","TestCollectionDeletion","","","test_delete_collection_revision__ok",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","34","tests.unit.backend.layers.business","test_business","TestGetAllCollections","","","test_get_all_collections_unpublished_ok","
        If published filter flag is False, only unpublished collections should be returned
        "
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","4","tests.unit.backend.layers.api","test_gene_info","GeneInfoAPIv1Tests","","","test_gene_checker_call","
        Successfully calls GeneChecker if called with only a name parameter
        "
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","4","tests.unit.backend.layers.business","test_business","TestUpdateDataset","","","test_update_dataset_status_ok","
        The dataset processing status can be updated using `update_dataset_status`
        "
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","1910","tests.unit.processing","test_processing","ProcessingTest","","","test_process_all",""
"passed","Wed Nov 29 16:58:23 GMT 2023","Wed Nov 29 16:58:23 GMT 2023","237","tests.unit.backend.wmg","test_query","QueryPrimaryFilterDimensionsTest","","","test__multiple_dimensions__returns_all_dimensions_and_terms_as_tuples",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","5","tests.unit.backend.layers.business","test_business","TestGetDataset","","","test_get_dataset_status_for_uploaded_dataset_ok","
        Calling `get_dataset_status` should yield the processing status
        "
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","4","tests.unit.backend.layers.api","test_curation_api","TestPostDataset","","","test_post_datasets_returns_canonical_id","
        POST /datasets returns the canonical dataset id on creation.
        "
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","1","tests.unit.backend.layers.business","test_business","TestDeleteDataset","","","test_delete_artifacts_delete_cxg",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_18","","","test_type_inference",""
"passed","Wed Nov 29 16:58:04 GMT 2023","Wed Nov 29 16:58:04 GMT 2023","9","tests.unit.backend.layers.api","test_curation_api","TestGetCollections","","","test__get_collections_no_auth__OK",""
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","1","tests.unit.processing.schema_migration","test_collection_migrate","TestCollectionMigrate","","","test_can_publish_false_and_no_datasets",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","7","tests.unit.backend.layers.business","test_business","TestSetPreviousDatasetVersion","","","test_private_restoring_previously_replaced_dataset",""
"passed","Wed Nov 29 16:58:04 GMT 2023","Wed Nov 29 16:58:04 GMT 2023","5","tests.unit.backend.layers.api","test_app","TestAPI","","","test__api_index__returns_200","If this fails then the server does not work"
"passed","Wed Nov 29 16:59:25 GMT 2023","Wed Nov 29 16:59:25 GMT 2023","1","tests.unit.processing.schema_migration","test_gather_collections","TestGatherCollections","","","test_with_auto_publish_false",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","0","tests.unit.backend.layers.common","test_validation","","","","test__link__INVALID[protocol-://]",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","20","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionID","","","test__get_unbpublished_revision__OK",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","11","tests.unit.backend.layers.api","test_curation_api","TestPutLink","","","test__from_link__Not_Public","
        Calling PUT /datasets/:dataset_id should fail with 403 Unauthorized
        if trying to upload to a published collection
        "
"passed","Wed Nov 29 16:58:20 GMT 2023","Wed Nov 29 16:58:23 GMT 2023","3376","tests.unit.backend.wmg","test_query","QueryTest","","","test__query_marker_genes_cube__returns_correct_top_10_markers",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","42","tests.unit.backend.layers.api","test_curation_api","TestGetCollectionVersions","","","test__get_collection_versions__200",""
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","1","tests.unit.processing","test_process_download","","","","test_estimate_resource_requirements_positive[adata3-memory_settings3-expected3]",""
"passed","Wed Nov 29 17:00:30 GMT 2023","Wed Nov 29 17:00:30 GMT 2023","0","tests.unit.wmg_processing","test_tissue_mapper","TissueOrderTest","","","test__tissue_ordering",""
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","7","tests.unit.backend.layers.api","test_portal_api","TestCollectionDeletion","","","test_delete_private_collection_version__ok",""
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","18","tests.unit.backend.layers.api","test_curation_api","TestDeleteDataset","","","test__delete_dataset_by_canonical_id","
        Calling DELETE /collections/:collection_id/datasets/:dataset_id should work according to the
        auth token passed and when using canonical ids. In this case, the unpublished collection
        version will be looked up and used for deletion.
        "
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","1","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_101","","","test_type_inference",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","6","tests.unit.backend.layers.utils","test_uri","TestS3URI","","","test__validate_with_valid_s3_uri__ok",""
"passed","Wed Nov 29 16:58:11 GMT 2023","Wed Nov 29 16:58:13 GMT 2023","2059","tests.unit.backend.layers.utils","test_aws_secret","TestAwsSecret","","","test_update_of_existing_secret_updates_secret",""
